token,total,gw_v0,gw_v1,addrs
0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,58637804439780282848,355302710926371442386,155859481474465254353,142
0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,25482259210,23627024104,165978610523,174
0xdd97fe4f673ed231af188855f4ca8b1034153c8d4e40f5b4fae2afd5d3f53ccc,6030735600313455767964,13916004793491818223210,100842214593455767964,175
0xb4f59ca5a3e1b8bdbce38ca8742bcd922c2201d61090cddd4a053b3f786e3275,380000000000000000,0,0,176
0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,50189702,7458701,481126582,183
0xf7d2b6a5e6c9ec564ce11e30e845d7e4ed9fd873eb3a426e9991d4a780d7c35b,1234800000000000000,0,0,183
0xe183387147be24ecb3ba04eb480b6042803b1c93954f9c5a0e5a506cd5571b6b,23410000000000000000,0,0,184
0xb31800b3c908eaf217a982cb2a0fb8df7ac047485c432634a079a8c158339020,893400000000000000,0,0,184
0xb52927f7f444eb178461d0fa8b62b67c4a043add18e36248c7e9734d8d077a7e,380000000000000000,0,0,184
0x7658a43a8ae5f3f9d24c2001815617a31c29a4131bf2d2a67a4006f553116e11,304000000000000,0,0,184
0x232678824938dfd87a049122c4e244af88dad7faa79a262362f5bc5356ee4c64,16925000000000000000,0,0,186
0x82a6b63b13d9980c98b17810eb2599dc94c144c0ddd24fd24e8a7881d93323ff,26640000000000000,0,0,186
0xbfe64426d24c81113125b33d092655913c8c759e475403a418f4eab47f405dd9,0,0,0,186
0x8049b09170892d1b04b24c9c185704149d915ab29d6640a1c74bf85e823738f5,0,0,0,186
0xbceed8fd2b30c9e246035890196fed4218e5bff472786f74c19d9b156607070b,5795000000000000000,0,0,186
0x160093179296127b43624ab641e2561540e18b1f1b8025d8d6830485201a16a1,0,0,0,186
0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,82997293732,230336852731,456684846769,578
0xf49a7d57cd50907d28c0e2ae57b559165ce08aa0ff074fb3b277f6dc5eb285ee,4371000000000000000,0,0,578
0xd7a79519d220983c703fd90083c481fc3144daad7ea05728832cbc021f27c017,826000000000000000,0,0,578
0xaf47fbc88c924f720fd8d4c0aea5dca8bd00ceecd9f8c2ab45415f6a5dd2ee97,31340000000000000,0,0,578
0x5bea7b77283ac8a20bd4e848a67c68349a3880b67278a5565bbbc242a26d3e29,0,0,0,578
0x33e2afa67434322b1368bf5064b31dc20021bcccc871aa5cc6a5380aa58c59f6,2981000000,0,0,578
0xb571d967797059352785a0297b3ff740f17df1b97315c311b2c0e0107a0db5a8,0,0,0,58
0x4192873b0a0aaeaa04372aa46ff2cd94a90ac1acaa7569458226febec4d6d5ed,2582000000000000000,0,0,578
0xc0ddc82e1a24ccdf637bf19424dfcaa79ccb0dd7bdb1f4fdc7be3457214aee44,0,0,0,58
0xe5738a780a759d2f7a1a4b33999d1a7e05d55e0a88efb6068a963aa84531fdbc,0,0,0,58
0xbdfe9436470e847122230ec5119eed76ace9a99cca1db628cf8d42d334cc16f5,10065000000000000000,0,0,578
0x34ae46f1112be6a0f3d17bdf34d64e8508c4e6a6c23ae352d0915e24ac767224,0,0,0,58
0xcce6d0ac83d2491f8b8bd3875f3577b9e77f08a0396cd2e9274f339eb76e08a4,0,0,0,58
0xda58dca6d334b837dbeb1da27e3ee45039890555bbcadbbd59fa1f32faaa5d5b,0,0,0,58
0x70746eb3aeeefb93c7024332e3b129ac09dbdfd238e9a0ff7763ae1b2cd8193e,17574000000000000000,0,0,578
0xff7eb7296b2e6896274c37bdf949442f8cbb3f89f60d21d39367e2c93d917ad9,104070000,0,0,578
0xeb83e2d417474fb5aeaf3ab13be413e445159ade6865bd28834c34f680b9339a,0,0,0,58
0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,83179890384095958893,717885800279844027121,60700578406170477756,763
0x69c215249102308356778d58259c91c0f1988f6f5b07aa614921ee1803ea0059,206770863280420170079,707547599160000000000,628188193682696278913,780
0xfd6f1818fe746687ef5268f82ce1835ba1a94fdccee5f098a389aeed0067eb57,408788240225600001389,423754196144168137613,2123602254832319079804,798
0xd61ddc3184767d677be0d741883779aa9513293c4eaa4e0687b5b1caf845edfe,27177121109313721,261351211109313721,0,800
0x0353c4ffdcbda18f934a95341575781f3aaf7b68d35151997ff0967cfa0b9866,0,0,0,80
0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,8529596930508771,14689640915101542,40061892311458359,802
0x29f425f897896c15ca11fd154d8e22ac56b5f49e683d0c88979ad44752fcd520,40862385050451539,156112411024188669,0,805
0xcedd0f67f2d218ab992284ab343c2e729d2a124a1612592deaa9f8b8f8a581dd,3873850945429459025930,36810263866266067817350,1225795433690012762456,844
0x5e945aa680b40d9388d4988aee0aebdd2ad9185b6c0ebfd408fa974818de8b6a,16740000000000000000,67200000000000000000,0,845
0xc66b8a7f4869272e1fd0565535cb444c319b6baafd386c5857f08d87e396cfd5,2230000000000000000,0,0,846
